region,year,crop,yield
Ahmedabad_GJ,2000,maize,1.730520095
Ahmedabad_GJ,2001,maize,1.8996199999999999
Ahmedabad_GJ,2002,maize,1.5966650949999999
Ahmedabad_GJ,2003,maize,1.9384751899999997
Ahmedabad_GJ,2004,maize,1.811935095
Ahmedabad_GJ,2005,maize,1.8415749999999997
Ahmedabad_GJ,2006,maize,1.8168750949999999
Ahmedabad_GJ,2007,maize,2.2184399999999997
Ahmedabad_GJ,2008,maize,2.2933
Ahmedabad_GJ,2009,maize,1.9226100949999998
Ahmedabad_GJ,2010,maize,2.4130952850000003
Ahmedabad_GJ,2011,maize,2.35448
Ahmedabad_GJ,2012,maize,2.4279149999999996
Ahmedabad_GJ,2013,maize,2.4439700949999996
Ahmedabad_GJ,2014,maize,2.4439700949999996
Ahmedabad_GJ,2015,maize,2.480165095
Ahmedabad_GJ,2016,maize,2.46734019
Ahmedabad_GJ,2017,maize,2.554170285
Ahmedabad_GJ,2018,maize,2.9120351899999997
Ahmedabad_GJ,2019,maize,2.9166901899999997
Ahmedabad_GJ,2020,maize,2.85579519
Ahmedabad_GJ,2021,maize,3.039335285
Ahmedabad_GJ,2022,maize,3.21784
Ahmedabad_GJ,2023,maize,3.36765519
Ahmedabad_GJ,2000,wheat,2.6395750000000002
Ahmedabad_GJ,2001,wheat,2.572695285
Ahmedabad_GJ,2002,wheat,2.6239951899999996
Ahmedabad_GJ,2003,wheat,2.479500095
Ahmedabad_GJ,2004,wheat,2.57754
Ahmedabad_GJ,2005,wheat,2.47152019
Ahmedabad_GJ,2006,wheat,2.4878601899999997
Ahmedabad_GJ,2007,wheat,2.572505
Ahmedabad_GJ,2008,wheat,2.66209
Ahmedabad_GJ,2009,wheat,2.7617451899999996
Ahmedabad_GJ,2010,wheat,2.69752519
Ahmedabad_GJ,2011,wheat,2.839170285
Ahmedabad_GJ,2012,wheat,3.01862519
Ahmedabad_GJ,2013,wheat,2.99611019
Ahmedabad_GJ,2014,wheat,2.9884151899999996
Ahmedabad_GJ,2015,wheat,2.61212019
Ahmedabad_GJ,2016,wheat,2.882205
Ahmedabad_GJ,2017,wheat,3.03990519
Ahmedabad_GJ,2018,wheat,3.1997899999999997
Ahmedabad_GJ,2019,wheat,3.3567299999999998
Ahmedabad_GJ,2020,wheat,3.267810285
Ahmedabad_GJ,2021,wheat,3.34476
Ahmedabad_GJ,2022,wheat,3.360435
Ahmedabad_GJ,2023,wheat,3.3446651899999997
Champaign_IL,2000,maize,9.8810208
Champaign_IL,2001,maize,9.97485045
Champaign_IL,2002,maize,9.332476549999999
Champaign_IL,2003,maize,10.26355795
Champaign_IL,2004,maize,11.569961399999999
Champaign_IL,2005,maize,10.67496585
Champaign_IL,2006,maize,10.7615804
Champaign_IL,2007,maize,10.87706225
Champaign_IL,2008,maize,11.0647227
Champaign_IL,2009,maize,11.865886299999998
Champaign_IL,2010,maize,11.0141986
Champaign_IL,2011,maize,10.5955733
Champaign_IL,2012,maize,8.884979349999998
Champaign_IL,2013,maize,11.411171699999999
Champaign_IL,2014,maize,12.34225425
Champaign_IL,2015,maize,12.154593799999999
Champaign_IL,2016,maize,12.60209215
Champaign_IL,2017,maize,12.746444749999998
Champaign_IL,2018,maize,12.7320088
Champaign_IL,2019,maize,12.0896349
Champaign_IL,2020,maize,12.371125
Champaign_IL,2021,maize,12.753662149999998
Champaign_IL,2022,maize,12.5154776
Champaign_IL,2023,maize,12.796968849999999
Champaign_IL,2000,wheat,3.2473699999999996
Champaign_IL,2001,wheat,3.1070699999999998
Champaign_IL,2002,wheat,2.71020523
Champaign_IL,2003,wheat,3.41688
Champaign_IL,2004,wheat,3.3379903449999997
Champaign_IL,2005,wheat,3.246565345
Champaign_IL,2006,wheat,2.988390115
Champaign_IL,2007,wheat,3.1102903449999997
Champaign_IL,2008,wheat,3.47012523
Champaign_IL,2009,wheat,3.4381549999999996
Champaign_IL,2010,wheat,3.58420523
Champaign_IL,2011,wheat,3.3835302299999994
Champaign_IL,2012,wheat,3.58271
Champaign_IL,2013,wheat,3.64239523
Champaign_IL,2014,wheat,3.3784702299999996
Champaign_IL,2015,wheat,3.369385
Champaign_IL,2016,wheat,4.071920345
Champaign_IL,2017,wheat,3.585125
Champaign_IL,2018,wheat,3.6805752299999996
Champaign_IL,2019,wheat,3.9957903449999996
Champaign_IL,2020,wheat,3.8429549999999995
Champaign_IL,2021,wheat,3.4275752299999995
Champaign_IL,2022,wheat,3.5954751149999997
Champaign_IL,2023,wheat,3.7598101149999996
Indore_MP,2000,maize,1.912680105
Indore_MP,2001,maize,2.09958
Indore_MP,2002,maize,1.764735105
Indore_MP,2003,maize,2.14252521
Indore_MP,2004,maize,2.002665105
Indore_MP,2005,maize,2.035425
Indore_MP,2006,maize,2.008125105
Indore_MP,2007,maize,2.45196
Indore_MP,2008,maize,2.5347000000000004
Indore_MP,2009,maize,2.124990105
Indore_MP,2010,maize,2.667105315
Indore_MP,2011,maize,2.60232
Indore_MP,2012,maize,2.683485
Indore_MP,2013,maize,2.701230105
Indore_MP,2014,maize,2.701230105
Indore_MP,2015,maize,2.741235105
Indore_MP,2016,maize,2.7270602100000003
Indore_MP,2017,maize,2.823030315
Indore_MP,2018,maize,3.21856521
Indore_MP,2019,maize,3.22371021
Indore_MP,2020,maize,3.1564052100000004
Indore_MP,2021,maize,3.359265315
Indore_MP,2022,maize,3.55656
Indore_MP,2023,maize,3.72214521
Indore_MP,2000,wheat,2.917425
Indore_MP,2001,wheat,2.843505315
Indore_MP,2002,wheat,2.90020521
Indore_MP,2003,wheat,2.740500105
Indore_MP,2004,wheat,2.84886
Indore_MP,2005,wheat,2.73168021
Indore_MP,2006,wheat,2.74974021
Indore_MP,2007,wheat,2.843295
Indore_MP,2008,wheat,2.94231
Indore_MP,2009,wheat,3.05245521
Indore_MP,2010,wheat,2.9814752099999997
Indore_MP,2011,wheat,3.138030315
Indore_MP,2012,wheat,3.33637521
Indore_MP,2013,wheat,3.31149021
Indore_MP,2014,wheat,3.30298521
Indore_MP,2015,wheat,2.88708021
Indore_MP,2016,wheat,3.185595
Indore_MP,2017,wheat,3.3598952100000004
Indore_MP,2018,wheat,3.53661
Indore_MP,2019,wheat,3.71007
Indore_MP,2020,wheat,3.611790315
Indore_MP,2021,wheat,3.69684
Indore_MP,2022,wheat,3.7141650000000004
Indore_MP,2023,wheat,3.69673521
Karnal_HR,2000,maize,2.00376011
Karnal_HR,2001,maize,2.1995600000000004
Karnal_HR,2002,maize,1.84877011
Karnal_HR,2003,maize,2.2445502200000003
Karnal_HR,2004,maize,2.0980301100000003
Karnal_HR,2005,maize,2.13235
Karnal_HR,2006,maize,2.10375011
Karnal_HR,2007,maize,2.5687200000000003
Karnal_HR,2008,maize,2.6554
Karnal_HR,2009,maize,2.22618011
Karnal_HR,2010,maize,2.7941103300000005
Karnal_HR,2011,maize,2.72624
Karnal_HR,2012,maize,2.81127
Karnal_HR,2013,maize,2.8298601100000003
Karnal_HR,2014,maize,2.8298601100000003
Karnal_HR,2015,maize,2.87177011
Karnal_HR,2016,maize,2.85692022
Karnal_HR,2017,maize,2.9574603300000004
Karnal_HR,2018,maize,3.37183022
Karnal_HR,2019,maize,3.3772202200000003
Karnal_HR,2020,maize,3.3067102200000003
Karnal_HR,2021,maize,3.51923033
Karnal_HR,2022,maize,3.7259200000000003
