-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2025 in LST
Location: Latitude  16.2   Longitude 77.3667 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 370.49 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
IMERG_PRECTOT         MERRA-2 Total Precipitation (mm/day) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2000,18.64,21.49,24.08,26.15,24.27,17.29,18.21,16.63,20.11,19.19,19.09,17.02,20.17
ALLSKY_SFC_SW_DWN,2001,18.27,22.86,23.85,23.89,26.05,19.27,17.29,17.61,18.91,17.73,18.7,17.77,20.16
ALLSKY_SFC_SW_DWN,2002,18.4,21.5,24.28,25.88,24.64,19.6,19.5,16.32,20.55,19.28,19.23,17.79,20.57
ALLSKY_SFC_SW_DWN,2003,17.9,21.49,23.03,25.41,25.66,21.73,17.14,17.57,19.03,19.24,18.97,17.88,20.4
ALLSKY_SFC_SW_DWN,2004,18.48,22.16,24.92,25.62,23.27,20.87,18.02,18.32,18.88,19.44,18.78,18.82,20.62
ALLSKY_SFC_SW_DWN,2005,17.55,22.23,24.71,23.28,24.48,21.09,15.99,17.66,17.39,16.84,19.56,18.21,19.89
ALLSKY_SFC_SW_DWN,2006,19.84,23.2,23.81,24.36,23.93,20.2,17.21,16.7,19.17,18.48,17.09,17.59,20.1
ALLSKY_SFC_SW_DWN,2007,19.08,21.84,23.28,24.96,24.68,18.68,19.04,17.79,17.26,18.76,19.84,17.14,20.18
ALLSKY_SFC_SW_DWN,2008,19.56,19.95,22.51,25.58,25.27,19.25,18.39,17.25,18.27,20.3,17.28,17.99,20.13
ALLSKY_SFC_SW_DWN,2009,19.45,22.0,22.86,24.15,24.56,23.22,17.12,18.25,18.17,18.94,16.99,16.43,20.16
