-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2025 in LST
Location: Latitude  23.0225   Longitude 72.5714 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 46.53 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
IMERG_PRECTOT         MERRA-2 Total Precipitation (mm/day) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2000,17.65,21.03,24.42,27.77,25.43,24.2,16.91,17.39,20.09,20.93,18.95,16.61,20.93
ALLSKY_SFC_SW_DWN,2001,17.35,20.16,23.37,27.12,26.25,21.59,15.3,16.96,21.21,20.16,18.36,16.46,20.34
ALLSKY_SFC_SW_DWN,2002,16.73,20.04,22.8,26.71,26.98,23.01,16.98,15.05,21.55,21.33,17.48,16.09,20.38
ALLSKY_SFC_SW_DWN,2003,16.76,19.48,23.51,26.02,26.33,21.93,16.81,17.08,17.45,21.53,17.68,16.15,20.06
ALLSKY_SFC_SW_DWN,2004,16.98,21.04,24.71,26.19,24.59,22.88,17.9,14.16,20.9,19.88,17.45,15.1,20.13
ALLSKY_SFC_SW_DWN,2005,16.06,20.27,23.77,26.87,27.86,23.47,16.86,16.82,17.12,21.25,18.17,15.99,20.37
ALLSKY_SFC_SW_DWN,2006,17.17,20.29,23.18,26.36,26.67,23.74,13.76,12.8,18.98,21.04,17.45,15.57,19.73
ALLSKY_SFC_SW_DWN,2007,16.44,20.06,24.36,26.91,27.37,22.86,16.52,16.47,19.46,21.13,17.71,15.08,20.35
ALLSKY_SFC_SW_DWN,2008,16.31,20.9,22.89,26.58,26.88,20.3,15.75,15.09,19.45,20.76,16.66,14.76,19.68
ALLSKY_SFC_SW_DWN,2009,15.18,20.52,24.04,26.89,26.68,24.57,17.36,17.17,22.87,20.96,16.64,15.15,20.65
ALLSKY_SFC_SW_DWN,2010,17.09,20.01,23.87,26.07,27.49,24.23,17.67,16.37,17.96,20.13,14.24,15.76,20.07
ALLSKY_SFC_SW_DWN,2011,17.82,20.28,24.52,26.31,27.36,20.54,16.72,14.15,16.99,20.63,16.82,15.98,19.83
ALLSKY_SFC_SW_DWN,2012,16.68,20.73,24.07,25.51,27.32,24.01,16.09,14.33,16.84,20.37,16.63,15.98,19.87
ALLSKY_SFC_SW_DWN,2013,16.84,19.78,23.98,25.83,27.61,20.71,14.43,15.42,18.09,19.17,16.48,15.39,19.47
ALLSKY_SFC_SW_DWN,2014,15.52,19.28,24.12,26.8,27.05,25.06,17.92,18.46,17.4,19.73,16.25,15.49,20.25
ALLSKY_SFC_SW_DWN,2015,15.92,19.91,22.36,24.67,27.35,22.02,15.58,16.7,20.12,20.62,16.28,16.23,19.8
ALLSKY_SFC_SW_DWN,2016,16.43,19.52,23.27,26.21,26.88,23.03,15.56,14.07,19.88,18.48,17.83,16.56,19.79
ALLSKY_SFC_SW_DWN,2017,16.02,20.35,24.13,26.19,26.74,22.74,12.58,15.34,18.55,20.31,16.29,13.25,19.35
ALLSKY_SFC_SW_DWN,2018,16.99,19.37,23.57,25.47,26.58,21.8,13.37,12.94,17.89,20.48,16.95,15.52,19.23
ALLSKY_SFC_SW_DWN,2019,16.89,19.44,23.19,25.99,27.16,22.62,16.75,14.32,14.45,18.56,14.51,13.96,18.98
ALLSKY_SFC_SW_DWN,2020,15.92,19.63,22.35,25.96,27.29,21.69,18.84,13.3,18.51,19.67,16.47,14.94,19.54
ALLSKY_SFC_SW_DWN,2021,15.37,20.17,23.8,25.63,24.03,21.68,16.36,16.32,14.59,19.63,15.13,13.22,18.81
ALLSKY_SFC_SW_DWN,2022,16.1,20.63,23.12,26.16,25.38,23.24,14.81,14.47,18.66,19.85,17.49,15.46,19.59
ALLSKY_SFC_SW_DWN,2023,16.16,21.45,20.88,24.07,25.78,20.4,15.99,13.19,17.49,20.39,14.81,14.04,18.69
ALLSKY_SFC_SW_DWN,2024,15.72,18.95,23.1,23.85,25.66,22.47,14.38,13.16,16.12,18.02,16.9,14.46,18.55
ALLSKY_SFC_SW_DWN,2025,16.58,19.79,23.41,25.85,23.74,18.19,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2000,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2001,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2002,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2003,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2004,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2005,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2006,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2007,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2008,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2009,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2010,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2011,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2012,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2013,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2014,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2015,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2016,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2017,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2018,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2019,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2020,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2021,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2022,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2023,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2024,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2025,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
RH2M,2000,24.5,22.37,22.11,27.5,44.3,45.63,75.24,77.83,57.28,31.71,19.88,17.17,38.9
RH2M,2001,19.9,16.47,24.06,24.03,42.45,62.85,77.54,76.05,55.17,40.26,18.6,19.95,39.96
RH2M,2002,22.96,19.82,21.79,25.36,37.02,53.35,62.82,67.68,60.31,32.3,19.72,25.76,37.53
RH2M,2003,24.41,30.79,20.81,27.93,34.28,58.24,82.02,86.46,84.37,61.87,42.5,32.7,48.97
RH2M,2004,30.98,19.99,15.6,33.06,38.57,55.53,66.64,88.05,81.47,63.31,42.34,34.92,47.63
RH2M,2005,28.65,29.23,26.33,19.52,34.55,50.95,84.44,84.47,83.35,64.95,46.7,36.32,49.27
RH2M,2006,30.79,23.53,24.95,32.52,36.33,55.08,78.49,88.95,85.52,70.58,56.06,46.16,52.6
RH2M,2007,33.22,34.08,24.5,23.98,36.04,56.8,84.98,87.57,85.39,66.14,56.14,41.33,52.63
RH2M,2008,30.77,20.47,19.6,28.12,40.73,58.63,70.2,82.58,80.16,59.35,36.24,35.92,47.0
