-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2025 in LST
Location: Latitude  33.61   Longitude -101.82 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 977.33 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
IMERG_PRECTOT         MERRA-2 Total Precipitation (mm/day) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2000,11.67,16.16,19.2,23.18,27.88,22.38,26.4,25.39,22.26,12.27,11.55,9.77,19.01
ALLSKY_SFC_SW_DWN,2001,10.4,12.57,15.9,23.26,25.46,29.28,27.78,23.18,21.38,17.45,10.47,10.67,19.01
ALLSKY_SFC_SW_DWN,2002,12.07,15.94,19.73,20.4,24.92,26.69,25.18,24.41,20.68,11.7,12.28,10.16,18.69
ALLSKY_SFC_SW_DWN,2003,13.18,13.47,20.06,25.16,25.48,25.73,28.01,22.98,19.93,15.92,10.83,11.94,19.43
ALLSKY_SFC_SW_DWN,2004,11.34,13.06,17.69,21.21,27.61,25.63,25.12,23.42,19.09,14.12,10.06,11.81,18.37
ALLSKY_SFC_SW_DWN,2005,9.88,12.13,19.54,24.97,22.01,27.86,26.42,23.38,21.26,15.28,14.51,10.67,19.01
ALLSKY_SFC_SW_DWN,2006,13.0,15.26,17.3,23.83,25.82,28.22,26.83,22.86,19.61,15.72,13.62,11.07,19.44
ALLSKY_SFC_SW_DWN,2007,9.93,14.81,18.07,21.14,21.19,26.12,24.85,23.37,20.03,18.87,12.17,10.88,18.47
ALLSKY_SFC_SW_DWN,2008,12.37,16.33,19.34,25.79,26.43,28.27,25.1,22.86,20.2,16.38,14.08,11.1,19.85
ALLSKY_SFC_SW_DWN,2009,13.0,16.95,19.36,24.34,23.65,25.16,25.55,25.63,19.17,14.34,13.76,10.13,19.26
ALLSKY_SFC_SW_DWN,2010,11.42,12.98,19.99,21.07,24.74,26.53,22.85,25.41,20.24,17.49,14.46,11.23,19.07
ALLSKY_SFC_SW_DWN,2011,13.28,16.29,20.04,26.57,28.86,29.58,26.84,25.15,20.0,17.08,13.13,8.92,20.49
ALLSKY_SFC_SW_DWN,2012,12.85,14.54,19.7,24.85,25.42,27.21,25.88,24.09,18.95,16.92,14.3,10.98,19.65
ALLSKY_SFC_SW_DWN,2013,12.09,16.14,21.26,25.03,26.01,27.74,25.24,25.44,20.6,16.56,11.9,10.22,19.87
ALLSKY_SFC_SW_DWN,2014,12.94,14.43,21.05,24.1,26.32,27.2,25.09,24.13,16.11,17.05,12.72,9.22,19.23
ALLSKY_SFC_SW_DWN,2015,10.47,14.32,17.85,22.99,22.24,26.69,26.52,23.84,20.13,14.6,12.77,10.9,18.62
ALLSKY_SFC_SW_DWN,2016,12.03,16.96,21.26,23.1,24.26,27.25,27.65,22.69,19.13,17.07,11.72,9.76,19.41
ALLSKY_SFC_SW_DWN,2017,12.17,15.97,20.59,22.89,27.51,26.66,27.15,23.24,18.24,16.99,12.66,10.14,19.54
ALLSKY_SFC_SW_DWN,2018,13.47,14.6,20.37,24.97,26.88,27.65,24.86,24.04,18.56,12.82,13.14,10.07,19.31
ALLSKY_SFC_SW_DWN,2019,12.16,14.2,17.85,22.65,22.61,28.32,27.51,24.7,19.43,16.77,11.69,11.24,19.12
ALLSKY_SFC_SW_DWN,2020,12.28,14.31,16.58,23.11,26.79,29.33,26.9,24.87,19.66,16.83,13.31,11.33,19.62
ALLSKY_SFC_SW_DWN,2021,10.76,13.7,20.54,22.07,23.75,27.18,26.0,24.15,21.5,18.2,13.14,10.81,19.34
ALLSKY_SFC_SW_DWN,2022,13.0,16.36,21.52,25.72,27.21,27.71,27.01,21.09,22.26,14.96,12.16,10.75,19.99
ALLSKY_SFC_SW_DWN,2023,11.5,14.96,19.72,24.16,24.34,26.36,27.37,25.33,20.97,16.45,12.52,11.42,19.62
