-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2025 in LST
Location: Latitude  39.32   Longitude -96.73 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 396.47 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
IMERG_PRECTOT         MERRA-2 Total Precipitation (mm/day) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2000,8.34,10.55,13.89,19.61,20.32,23.11,23.75,21.02,18.0,11.94,9.82,7.9,15.69
ALLSKY_SFC_SW_DWN,2001,8.14,9.66,14.63,18.95,21.27,23.87,23.5,22.53,17.48,13.34,9.07,8.13,15.92
ALLSKY_SFC_SW_DWN,2002,8.72,12.04,15.78,18.31,21.91,24.89,23.64,20.08,18.12,11.14,9.43,8.06,16.02
ALLSKY_SFC_SW_DWN,2003,8.45,9.64,15.06,17.58,21.8,22.23,25.85,20.15,18.0,13.74,7.88,6.85,15.64
ALLSKY_SFC_SW_DWN,2004,7.88,11.34,14.35,19.25,22.29,22.59,21.49,21.67,19.56,11.66,7.59,8.07,15.65
ALLSKY_SFC_SW_DWN,2005,6.36,10.04,14.85,18.51,23.1,23.46,25.21,19.55,17.44,12.84,9.49,7.53,15.73
ALLSKY_SFC_SW_DWN,2006,9.01,12.67,13.57,20.09,21.38,24.42,24.59,20.08,17.0,11.74,9.21,7.14,15.91
ALLSKY_SFC_SW_DWN,2007,8.25,10.89,13.93,18.8,18.96,22.04,22.35,21.68,17.65,12.91,10.29,6.44,15.37
ALLSKY_SFC_SW_DWN,2008,8.43,11.33,13.52,17.97,21.02,23.99,22.19,20.52,15.96,12.86,8.87,7.13,15.32
ALLSKY_SFC_SW_DWN,2009,8.82,12.08,13.86,17.59,21.61,23.16,22.73,21.26,15.66,10.01,8.57,6.57,15.17
ALLSKY_SFC_SW_DWN,2010,7.69,9.51,12.89,19.32,20.45,23.29,22.14,23.07,16.25,15.04,9.73,6.98,15.56
ALLSKY_SFC_SW_DWN,2011,8.18,10.94,12.72,17.82,20.72,24.09,25.14,21.96,18.22,14.37,9.4,7.05,15.91
