-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2025 in LST
Location: Latitude  40.784   Longitude -96.688 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 421.79 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
IMERG_PRECTOT         MERRA-2 Total Precipitation (mm/day) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2000,7.77,9.81,14.03,19.01,20.96,23.84,22.94,20.0,17.51,11.86,9.34,7.45,15.38
ALLSKY_SFC_SW_DWN,2001,7.96,10.98,15.5,18.82,19.72,24.09,22.36,22.27,16.78,13.08,8.78,7.08,15.64
ALLSKY_SFC_SW_DWN,2002,8.38,11.53,14.74,18.11,22.39,24.82,23.64,19.85,17.58,11.15,8.88,7.74,15.75
ALLSKY_SFC_SW_DWN,2003,8.02,10.58,14.52,17.3,21.9,22.51,25.67,20.67,17.84,13.53,7.65,6.63,15.6
ALLSKY_SFC_SW_DWN,2004,7.39,10.73,13.72,19.68,21.22,23.33,21.01,21.19,19.36,11.39,7.63,7.31,15.33
ALLSKY_SFC_SW_DWN,2005,6.78,10.27,14.55,17.92,23.57,23.34,25.17,20.24,17.31,12.56,8.85,7.0,15.66
ALLSKY_SFC_SW_DWN,2006,8.15,12.09,13.84,18.48,22.33,24.68,24.55,19.57,16.28,11.18,8.92,6.51,15.56
ALLSKY_SFC_SW_DWN,2007,8.19,10.11,14.64,19.4,20.53,23.42,23.7,20.23,17.84,12.7,9.6,6.65,15.61
ALLSKY_SFC_SW_DWN,2008,8.84,11.41,14.35,17.76,21.31,24.13,22.89,21.28,16.26,12.73,8.02,6.93,15.5
ALLSKY_SFC_SW_DWN,2009,7.77,11.82,14.56,17.99,21.97,22.23,22.64,21.5,15.45,9.12,8.37,6.17,14.98
ALLSKY_SFC_SW_DWN,2010,8.2,10.51,12.69,18.52,20.62,23.43,22.55,22.72,15.34,14.61,9.29,6.3,15.42
ALLSKY_SFC_SW_DWN,2011,8.19,11.22,12.98,17.22,20.72,22.43,24.1,21.0,18.14,13.4,9.08,6.73,15.45
ALLSKY_SFC_SW_DWN,2012,8.53,11.28,15.93,20.09,24.09,25.72,26.47,21.66,18.07,11.96,9.66,6.65,16.69
ALLSKY_SFC_SW_DWN,2013,8.17,10.91,13.84,17.1,19.7,22.15,22.96,20.41,17.48,12.67,9.59,7.17,15.2
ALLSKY_SFC_SW_DWN,2014,8.36,10.46,16.16,17.68,22.73,22.56,25.04,19.09,16.31,13.46,9.28,5.11,15.55
ALLSKY_SFC_SW_DWN,2015,7.93,11.03,17.36,18.4,17.15,21.45,22.64,20.32,17.07,13.47,8.46,6.2,15.14
ALLSKY_SFC_SW_DWN,2016,6.97,11.85,14.96,19.2,21.53,27.2,21.57,19.78,16.63,12.15,8.56,6.92,15.61
ALLSKY_SFC_SW_DWN,2017,7.08,11.53,12.96,15.53,23.55,26.7,24.56,21.29,16.66,11.3,8.85,7.29,15.63
ALLSKY_SFC_SW_DWN,2018,8.2,11.15,13.15,17.04,21.28,23.65,24.87,19.16,14.94,10.67,7.98,6.92,14.94
ALLSKY_SFC_SW_DWN,2019,7.02,10.98,14.66,19.06,19.17,23.94,24.08,18.1,16.34,11.85,8.42,7.09,15.07
ALLSKY_SFC_SW_DWN,2020,7.36,11.93,13.12,20.16,17.71,25.74,23.98,22.65,15.59,12.49,9.54,7.63,15.66
ALLSKY_SFC_SW_DWN,2021,6.39,12.4,14.71,19.96,18.92,24.92,22.54,21.95,16.86,11.89,8.88,7.63,15.59
ALLSKY_SFC_SW_DWN,2022,8.71,13.45,14.86,19.2,19.68,24.72,23.68,22.18,17.71,14.22,9.03,6.28,16.15
ALLSKY_SFC_SW_DWN,2023,6.99,11.66,14.22,21.15,22.77,24.09,21.91,21.0,18.14,12.49,8.76,6.16,15.79
ALLSKY_SFC_SW_DWN,2024,7.71,12.29,14.91,20.77,22.47,24.46,23.33,19.65,18.47,14.41,7.94,6.7,16.09
ALLSKY_SFC_SW_DWN,2025,8.84,11.41,15.54,18.4,22.69,22.83,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2000,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2001,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2002,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2003,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2004,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2005,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2006,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2007,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2008,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2009,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2010,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2011,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2012,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2013,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2014,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2015,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2016,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2017,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2018,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2019,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2020,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2021,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2022,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2023,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2024,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2025,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
RH2M,2000,68.2,69.17,60.82,56.9,56.15,57.17,65.01,55.73,44.44,61.75,74.64,80.18,62.52
RH2M,2001,83.07,82.72,71.92,67.16,68.75,70.73,65.9,54.03,62.85,61.25,70.45,72.4,69.17
RH2M,2002,69.41,68.72,65.16,60.73,61.07,56.09,49.46,57.31,56.53,72.59,71.94,73.07,63.49
