-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2025 in LST
Location: Latitude  27.5619   Longitude 80.6827 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 136.46 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
IMERG_PRECTOT         MERRA-2 Total Precipitation (mm/day) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2000,12.66,17.41,21.49,25.26,24.62,18.71,18.62,18.21,18.21,18.57,15.9,13.43,18.59
ALLSKY_SFC_SW_DWN,2001,12.1,18.0,21.78,24.24,23.58,19.71,18.94,19.76,19.63,16.1,13.96,10.91,18.22
ALLSKY_SFC_SW_DWN,2002,12.2,16.39,21.73,24.14,24.6,23.4,18.87,17.8,15.62,17.65,14.72,11.74,18.24
ALLSKY_SFC_SW_DWN,2003,9.02,15.69,21.1,24.72,25.16,20.86,17.83,17.01,13.63,18.92,14.8,10.66,17.45
ALLSKY_SFC_SW_DWN,2004,9.57,17.65,22.71,22.71,25.16,21.51,18.16,20.29,18.4,16.81,14.14,11.09,18.17
ALLSKY_SFC_SW_DWN,2005,11.61,16.62,20.66,24.32,25.41,24.44,16.81,18.47,16.89,16.81,15.45,12.53,18.33
ALLSKY_SFC_SW_DWN,2006,14.06,17.2,21.39,24.4,22.09,20.95,17.74,20.03,19.55,17.64,14.04,12.17,18.43
ALLSKY_SFC_SW_DWN,2007,13.7,14.47,21.74,23.42,23.34,21.9,16.29,16.89,17.43,17.76,14.04,12.12,17.77
ALLSKY_SFC_SW_DWN,2008,12.41,16.83,20.28,24.67,22.7,17.43,14.93,16.26,18.88,17.27,14.07,11.21,17.23
ALLSKY_SFC_SW_DWN,2009,12.23,18.11,21.42,25.27,24.19,24.81,20.46,18.09,17.28,17.39,13.24,11.84,18.68
ALLSKY_SFC_SW_DWN,2010,9.01,16.8,21.54,24.53,24.71,23.59,17.29,17.17,15.51,17.69,12.91,12.49,17.76
ALLSKY_SFC_SW_DWN,2011,11.77,16.7,21.11,22.92,24.47,20.78,16.33,17.01,18.02,17.13,13.14,10.38,17.47
