-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2025 in LST
Location: Latitude  22.7169   Longitude 75.8577 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 402.35 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
IMERG_PRECTOT         MERRA-2 Total Precipitation (mm/day) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2000,17.98,20.19,24.81,26.52,24.47,20.93,14.15,16.63,17.74,20.25,18.46,16.55,19.88
ALLSKY_SFC_SW_DWN,2001,16.78,20.53,22.65,26.04,26.81,18.65,14.34,15.31,19.73,18.85,18.06,16.31,19.48
ALLSKY_SFC_SW_DWN,2002,16.92,19.47,22.62,25.86,26.87,20.77,18.47,11.94,18.08,20.41,17.21,16.23,19.56
ALLSKY_SFC_SW_DWN,2003,16.31,19.53,23.98,25.9,27.27,20.76,16.56,14.25,13.53,20.38,16.96,16.04,19.28
ALLSKY_SFC_SW_DWN,2004,16.61,20.92,24.07,26.37,25.54,20.97,16.21,12.44,19.67,19.01,16.85,15.87,19.52
ALLSKY_SFC_SW_DWN,2005,15.95,20.38,23.41,25.7,26.55,22.47,14.42,15.99,16.09,20.26,18.09,16.02,19.6
ALLSKY_SFC_SW_DWN,2006,17.48,20.42,21.81,26.02,26.11,22.01,12.47,12.08,16.94,19.7,16.59,15.28,18.88
ALLSKY_SFC_SW_DWN,2007,16.3,19.5,23.7,25.45,25.71,21.27,15.35,15.37,17.62,20.42,16.87,14.64,19.34
ALLSKY_SFC_SW_DWN,2008,16.29,20.29,21.95,26.26,27.34,17.56,15.12,14.72,16.72,19.54,16.32,15.13,18.93
ALLSKY_SFC_SW_DWN,2009,15.49,20.12,23.13,25.98,26.21,23.56,14.5,16.21,19.84,19.25,14.95,14.55,19.46
ALLSKY_SFC_SW_DWN,2010,16.6,18.13,23.35,26.46,27.01,22.0,16.16,14.84,17.24,17.73,14.81,15.44,19.15
ALLSKY_SFC_SW_DWN,2011,17.6,19.15,23.83,24.6,26.51,18.18,13.52,13.37,16.09,19.47,17.06,15.71,18.75
ALLSKY_SFC_SW_DWN,2012,16.04,20.02,23.83,25.31,26.22,21.8,13.26,12.26,15.86,18.64,16.27,15.72,18.75
ALLSKY_SFC_SW_DWN,2013,15.37,17.67,23.02,25.41,26.75,14.97,10.47,12.0,17.1,17.38,16.05,14.63,17.56
ALLSKY_SFC_SW_DWN,2014,13.71,17.98,22.86,25.76,25.64,23.63,14.9,15.96,16.22,18.57,16.07,15.36,18.88
